Plate,Well,WellID,SampleID,Host,Virus,Cross,Dilution,Letter Code,Resistance,Light,Week,Date of Last Transfer
lo6a,A1,P6A1,4228v1xB,FL42,28v,FL42x28v,1x,B,resistant,low,w2,5/22/18
lo6a,A2,P6A2,1322v102xA,FL13,22v,FL13x22v,10^2x,A,resistant,low,w2,5/22/18
lo6a,A3,P6A3,blank,blank,blank,blank,blank,B,blank,low,w2,5/22/18
lo6a,A4,P6A4,42s102xA,FL42,NA,FL42s,10^2x,A,susceptible,low,w2,5/22/18
lo6a,A5,P6A5,4228v102xA,FL42,28v,FL42x28v,10^2x,A,resistant,low,w2,5/22/18
lo6a,A6,P6A6,42s10xA,FL42,NA,FL42s,10x,A,susceptible,low,w2,5/22/18
lo6a,B1,P6B1,42s102xB,FL42,NA,FL42s,10^2x,B,susceptible,low,w2,5/22/18
lo6a,B2,P6B2,4242v1xA,FL42,42v,FL42x42v,1x,A,resistant,low,w2,5/22/18
lo6a,B3,P6B3,42s103xA,FL42,NA,FL42s,10^3x,A,susceptible,low,w2,5/22/18
lo6a,B4,P6B4,1328v1xA,FL13,28v,FL13x28v,1x,A,resistant,low,w2,5/22/18
lo6a,B5,P6B5,4228v1xA,FL42,28v,FL42x28v,1x,A,resistant,low,w2,5/22/18
lo6a,B6,P6B6,42s10xB,FL42,NA,FL42s,10x,B,susceptible,low,w2,5/22/18
lo6a,C1,P6C1,4228v10xA,FL42,28v,FL42x28v,10x,A,resistant,low,w2,5/22/18
lo6a,C2,P6C2,4222v10xA,FL42,22v,FL42x22v,10x,A,resistant,low,w2,5/22/18
lo6a,C3,P6C3,42s10xC,FL42,NA,FL42s,10x,C,susceptible,low,w2,5/22/18
lo6a,C4,P6C4,4222v103xB,FL42,22v,FL42x22v,10^3x,B,resistant,low,w2,5/22/18
lo6a,C5,P6C5,13s102xA,FL13,NA,FL13s,10^2x,A,susceptible,low,w2,5/22/18
lo6a,C6,P6C6,13s10xB,FL13,NA,FL13s,10x,B,susceptible,low,w2,5/22/18
lo6a,D1,P6D1,1328v103xCb,FL13,28v,FL13x28v,10^3x,Cb,resistant,low,w2,5/22/18
lo6a,D2,P6D2,13s102xB,FL13,NA,FL13s,10^2x,B,susceptible,low,w2,5/22/18
lo6a,D3,P6D3,13s10xA,FL13,NA,FL13s,10x,A,susceptible,low,w2,5/22/18
lo6a,D4,P6D4,1322v1xA,FL13,22v,FL13x22v,1x,A,resistant,low,w2,5/22/18
lo6a,D5,P6D5,13s103xA,FL13,NA,FL13s,10^3x,A,susceptible,low,w2,5/22/18
lo6a,D6,P6D6,blank,blank,blank,blank,blank,blank,blank,low,w2,
